iso3,country,year,gdp_current_usd,global_gdp_total,gdp_share,gdp_log,gdp_rank,gdp_share_change
NER,Niger,1961,485785230.978987,1348994512562.71,0.00036010912309504637,8.68644430708947,77,7.74295523065996e-06
LBY,Libya,1961,443905612.037755,1348994512562.71,0.0003290640606050052,8.64729063558996,78,1.4231170177535658e-05
UGA,Uganda,1961,441667334.611947,1348994512562.71,0.00032740484153112186,8.64509528034878,79,-4.282103466211006e-06
BOL,Bolivia,1961,410101010.10101,1348994512562.71,0.0003040049505627221,8.612890838979643,80,8.473867361227544e-06
BFA,Burkina Faso,1961,350247234.260712,1348994512562.71,0.00025963577390343925,8.544374714550093,81,6.14844063307439e-07
TCD,Chad,1961,333975336.110722,1348994512562.71,0.00024757353199032875,8.523714395594435,82,1.7685517103420445e-06
SLE,Sierra Leone,1961,327834190.577094,1348994512562.71,0.00024302114465558596,8.515654245160752,83,-9.38960741486011e-06
PRY,Paraguay,1961,322053713.15873,1348994512562.71,0.0002387361180194266,8.507928310773565,84,1.2291196122511753e-05
HTI,Haiti,1961,271066000.0,1348994512562.71,0.0002009392903200554,8.433075047132673,85,-1.3201248304071895e-05
ISL,Iceland,1961,266711460.241466,1348994512562.71,0.00019771130108957172,8.426041677154812,86,-6.8640272978156e-06
PNG,Papua New Guinea,1961,244832039.173126,1348994512562.71,0.0001814922424762233,8.388868249770988,87,8.1560210627132e-07
NIC,Nicaragua,1961,244144236.65331,1348994512562.71,0.000180982379379368,8.387646476647143,88,2.871089423790577e-06
BEN,Benin,1961,235668220.508202,1348994512562.71,0.00017469916913190307,8.372301022539386,89,-2.606513566112131e-06
BDI,Burundi,1961,202999992.0,1348994512562.71,0.0001504824445982046,8.307496020798158,90,-3.1541219353795763e-06
MUS,Mauritius,1961,191757729.477729,1348994512562.71,0.00014214863566304898,8.282752878758538,91,1.5093098273988678e-05
SOM,"Somalia, Fed. Rep.",1961,191659914.376034,1348994512562.71,0.00014207612602658707,8.28253128979144,92,6.207867526607995e-07
BHS,"Bahamas, The",1961,190022030.403525,1348994512562.71,0.00014086197433267286,8.278803954258324,93,7.812679638473862e-06
GUY,Guyana,1961,185849535.376162,1348994512562.71,0.00013776893356156074,8.269161479696898,94,4.343218310957225e-06
LBR,Liberia,1961,183920900.0,1348994512562.71,0.00013633924992815727,8.264631083446506,95,-1.2982645056403886e-05
TGO,Togo,1961,178497098.264275,1348994512562.71,0.00013231862442878345,8.251631160403077,96,-1.766182328733298e-06
GAB,Gabon,1961,167637907.122782,1348994512562.71,0.0001242687835729718,8.224372230241617,97,1.3376900261221733e-05
MRT,Mauritania,1961,159213430.204754,1348994512562.71,0.00011802377898653812,8.201979699191888,98,0.0
COG,"Congo, Rep.",1961,151675738.926342,1348994512562.71,0.00011243614226287755,8.180916119395556,99,9.176794642217108e-06
CAF,Central African Republic,1961,123134583.463559,1348994512562.71,9.127878750940058e-05,8.090380045604126,100,3.364491851251666e-06
RWA,Rwanda,1961,122000016.0,1348994512562.71,9.043774074976355e-05,8.086359887631398,101,-2.8416267888476125e-06
FJI,Fiji,1961,116987784.913739,1348994512562.71,8.672220963411862e-05,8.068140517972632,102,-1.3275555602028588e-06
SUR,Suriname,1961,107700000.0,1348994512562.71,7.983724099470228e-05,8.032215703297982,103,1.7255846876195022e-06
BRB,Barbados,1961,85363759.3406016,1348994512562.71,6.32795452803099e-05,7.931273532762805,104,5.536144659024149e-07
BMU,Bermuda,1961,76500000.0,1348994512562.71,5.670890377061025e-05,7.883661435153617,105,-4.256553829886663e-08
OMN,Oman,1961,45634487.3539276,1348994512562.71,3.382851963366027e-05,7.659293176141259,106,-8.452614175961709e-07
SWZ,Eswatini,1961,43026042.7895829,1348994512562.71,3.189489830306687e-05,7.63373140479329,107,4.399559249504961e-06
LSO,Lesotho,1961,35699985.7200057,1348994512562.71,2.6464144507293636e-05,7.552668042394435,108,-6.417259860221933e-07
BWA,Botswana,1961,32902612.8664855,1348994512562.71,2.439047198493031e-05,7.517230387568175,109,5.521790471081952e-07
BLZ,Belize,1961,29964999.965,1348994512562.71,2.2212840516359797e-05,7.476614281525235,110,2.0794579598320826e-07
VCT,St. Vincent and the Grenadines,1961,13999965.0000875,1348994512562.71,1.0378074091266321e-05,7.14612694994339,111,1.3566140581901553e-07
KNA,St. Kitts and Nevis,1961,12483302.125078,1348994512562.71,9.253782731379121e-06,7.096329481580974,112,-4.399292744906319e-07
SYC,Seychelles,1961,11592023.7636487,1348994512562.71,8.593084446004985e-06,7.064159262767718,113,-8.226620570849782e-07
USA,United States,1962,603639413793.103,1445098147358.0273,0.41771516688793425,11.780777588681454,1,0.0011528272255589278
DEU,Germany,1962,105895435234.343,1445098147358.0273,0.07327906096063044,11.024877239661182,2,0.0017011537535289306
GBR,United Kingdom,1962,81247564156.8246,1445098147358.0273,0.05622286922543212,10.909810349477281,3,-0.0014066948531248347
FRA,France,1962,75196980365.0325,1445098147358.0273,0.052035898393828765,10.87620040126805,4,0.002252115294913558
JPN,Japan,1962,64987857541.6256,1445098147358.0273,0.04497124133778622,10.812832219792325,5,0.00251980239842569
ITA,Italy,1962,52413872628.0045,1445098147358.0273,0.03627011267285142,10.719446248976372,6,0.0016891808113855059
CHN,China,1962,47310737754.2287,1445098147358.0273,0.03273877130125981,10.674959720403086,7,-0.004446183035205838
CAN,Canada,1962,42336211555.8268,1445098147358.0273,0.029296426428355164,10.62671199270059,8,-0.0011248928992842674
IND,India,1962,42161481858.0819,1445098147358.0273,0.029175514434893444,10.624915866708239,9,9.278991772308787e-05
